"id","film.person","film.href","film","film.person.href","award","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age","wga","eddie","Hot","Dark","Ethnicity","Sexuality","Nationality","fall","white","black","american","british","R.rated","critic"
"Missing Best Picture",NA,"http://www.imdb.com/title/tt0084335/","Missing",NA,"Best Picture",1983,0,NA,NA,9,15,122,1,0,1,0,0,"February",0,0,0,NA,0,1,0,0,1,14,NA,"PG",1,NA,1,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"Mississippi Burning Best Actor","Gene Hackman","http://www.imdb.com/title/tt0095647/","Mississippi Burning","http://www.imdb.com/name/nm0000432/","Best Actor",1989,0,3,1,18,19,128,1,0,0,0,0,"December",0,0,0,NA,0,0,1,1,1,34.603943,NA,"R",0,59,0,0,1,0,"White","Straight","United States",1,1,0,1,0,1,NA
"Mississippi Burning Best Director","Alan Parker","http://www.imdb.com/title/tt0095647/","Mississippi Burning","http://www.imdb.com/name/nm0000570/","Best Director",1989,0,1,0,18,19,128,1,0,0,0,0,"December",0,0,0,NA,0,0,1,1,1,34.603943,NA,"R",0,45,0,0,1,0,"White","Straight","Great Britain",1,1,0,0,1,1,NA
"Mississippi Burning Best Picture",NA,"http://www.imdb.com/title/tt0095647/","Mississippi Burning",NA,"Best Picture",1989,0,NA,NA,18,19,128,1,0,0,0,0,"December",0,0,0,NA,0,0,1,1,1,34.603943,NA,"R",0,NA,0,0,1,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"Mississippi Burning Best Supporting Actress","Frances McDormand","http://www.imdb.com/title/tt0095647/","Mississippi Burning","http://www.imdb.com/name/nm0000531/","Best Supporting Actress",1989,0,0,0,18,19,128,1,0,0,0,0,"December",0,0,0,NA,0,0,1,1,1,34.603943,NA,"R",0,32,0,0,1,0,"White","Straight","United States",1,1,0,1,0,1,NA
"Mona Lisa Best Actor","Bob Hoskins","http://www.imdb.com/title/tt0091538/","Mona Lisa","http://www.imdb.com/name/nm0001364/","Best Actor",1987,0,0,0,15,11,104,1,0,0,1,0,"June",0,1,1,NA,0,0,0,0,0,5.794184,NA,"R",0,45,0,0,0,0,"White","Straight","Great Britain",0,1,0,0,1,1,NA
"Moneyball Best Actor","Brad Pitt","http://www.imdb.com/title/tt1210166/","Moneyball","http://www.imdb.com/name/nm0000093/","Best Actor",2012,0,2,0,20,42,133,1,0,1,0,0,"September",1,0,0,0,0,1,1,0,1,75.605492,50,"PG-13",1,49,0,0,0,0,"White","Straight","United States",0,1,0,1,0,0,0
"Moneyball Best Picture",NA,"http://www.imdb.com/title/tt1210166/","Moneyball",NA,"Best Picture",2012,0,NA,NA,20,42,133,1,0,1,0,0,"September",1,0,0,0,0,1,1,0,1,75.605492,50,"PG-13",1,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0
"Moneyball Best Supporting Actor","Jonah Hill","http://www.imdb.com/title/tt1210166/","Moneyball","http://www.imdb.com/name/nm1706767/","Best Supporting Actor",2012,0,0,0,20,42,133,1,0,1,0,0,"September",1,0,0,0,0,1,1,0,1,75.605492,50,"PG-13",1,29,0,0,0,0,"White","Straight","United States",0,1,0,1,0,0,0
"Monster Best Actress","Charlize Theron","http://www.imdb.com/title/tt0340855/","Monster","http://www.imdb.com/name/nm0000234/","Best Actress",2004,1,0,0,20,13,109,1,0,1,0,0,"December",0,0,1,1,0,0,0,0,0,34.46921,8,"R",0,29,0,0,0,1,"White","Straight","United States",1,1,0,1,0,1,1
"Monster's Ball Best Actress","Halle Berry","http://www.imdb.com/title/tt0285742/","Monster's Ball","http://www.imdb.com/name/nm0000932/","Best Actress",2002,1,0,0,14,17,111,1,0,0,1,0,"December",0,0,0,1,0,1,0,0,0,31.273922,4,"R",0,36,0,0,1,0,"Multiracial","Straight","United States",1,0,0,1,0,1,0
"Moonstruck Best Actress","Cher","http://www.imdb.com/title/tt0093565/","Moonstruck","http://www.imdb.com/name/nm0000333/","Best Actress",1988,1,1,0,16,15,102,1,1,0,1,0,"December",0,0,0,NA,0,1,0,1,1,80.640528,NA,"PG",0,42,1,0,0,0,"White","Bisexual","United States",1,1,0,1,0,0,NA
"Moonstruck Best Director","Norman Jewison","http://www.imdb.com/title/tt0093565/","Moonstruck","http://www.imdb.com/name/nm0422484/","Best Director",1988,0,5,0,16,15,102,1,1,0,1,0,"December",0,0,0,NA,0,1,0,1,1,80.640528,NA,"PG",0,62,1,0,0,0,"White","Straight","Canada",1,1,0,0,0,0,NA
"Moonstruck Best Picture",NA,"http://www.imdb.com/title/tt0093565/","Moonstruck",NA,"Best Picture",1988,0,NA,NA,16,15,102,1,1,0,1,0,"December",0,0,0,NA,0,1,0,1,1,80.640528,NA,"PG",0,NA,1,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,0,NA
