"film.person.href","film.href","film","id","award","film.person","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age"
"http://www.imdb.com/name/nm0948772/","http://www.imdb.com/title/tt0065088/","They Shoot Horses, Don't They?","They Shoot Horses, Don't They? Best Supporting Actress","Best Supporting Actress","Susannah York",1970,0,0,0,10,21,129,1,0,0,0,0,"December",0,1,0,NA,0,1,1,1,0,NA,NA,NA,1,31
"http://www.imdb.com/name/nm0949350/","http://www.imdb.com/title/tt0075148/","Rocky","Rocky Best Supporting Actor","Best Supporting Actor","Burt Young",1977,0,0,0,17,20,119,1,0,0,0,0,"November",0,0,0,NA,1,1,1,1,1,117.235147,1,"PG",0,37
"http://www.imdb.com/name/nm0949574/","http://www.imdb.com/title/tt0065088/","They Shoot Horses, Don't They?","They Shoot Horses, Don't They? Best Supporting Actor","Best Supporting Actor","Gig Young",1970,1,2,0,10,21,129,1,0,0,0,0,"December",0,0,1,NA,0,1,1,1,0,NA,NA,NA,1,57
"http://www.imdb.com/name/nm1022455/","http://www.imdb.com/title/tt2125435/","Beasts of the Southern Wild","Beasts of the Southern Wild Best Director","Best Director","Benh Zeitlin",2013,0,0,0,66,65,93,1,0,0,0,0,"June",0,0,0,0,0,1,0,1,1,12.795746,1.8,"PG-13",1,NA
"http://www.imdb.com/name/nm1095720/","http://www.imdb.com/title/tt0298228/","Whale Rider","Whale Rider Best Actress","Best Actress","Keisha Castle-Hughes",2004,0,0,0,29,28,101,1,0,0,0,0,"June",1,0,0,0,0,0,0,0,0,20.779666,3.5e-06,"PG-13",1,14
"http://www.imdb.com/name/nm1113550/","http://www.imdb.com/title/tt0449059/","Little Miss Sunshine","Little Miss Sunshine Best Supporting Actress","Best Supporting Actress","Abigail Breslin",2007,0,0,0,54,55,101,1,1,0,0,1,"July",0,0,0,0,0,1,0,0,1,59.891098,8,"R",0,11
"http://www.imdb.com/name/nm1503432/","http://www.imdb.com/title/tt0390221/","Maria Full of Grace","Maria Full of Grace Best Actress","Best Actress","Catalina Sandino Moreno",2005,0,0,0,34,25,101,1,0,0,0,0,"July",0,0,0,0,0,0,0,0,0,6.529624,3.2,"R",0,24
"http://www.imdb.com/name/nm1519680/","http://www.imdb.com/title/tt0783233/","Atonement","Atonement Best Supporting Actress","Best Supporting Actress","Saoirse Ronan",2008,0,0,0,29,79,123,1,0,0,1,0,"December",1,0,0,0,0,1,0,0,1,50.927067,30,"R",1,14
"http://www.imdb.com/name/nm1567113/","http://www.imdb.com/title/tt1790885/","Zero Dark Thirty","Zero Dark Thirty Best Actress","Best Actress","Jessica Chastain",2013,0,1,0,57,72,157,1,0,1,0,0,"December",0,0,1,0,0,1,1,0,1,95.720716,40,"R",0,36
"http://www.imdb.com/name/nm1567113/","http://www.imdb.com/title/tt1454029/","The Help","The Help Best Supporting Actress","Best Supporting Actress","Jessica Chastain",2012,0,0,0,46,68,146,1,0,0,0,0,"August",0,1,1,1,0,0,0,0,1,169.708112,25,"PG-13",1,35
"http://www.imdb.com/name/nm1617685/","http://www.imdb.com/title/tt0443489/","Dreamgirls","Dreamgirls Best Supporting Actress","Best Supporting Actress","Jennifer Hudson",2007,1,0,0,50,50,130,1,0,0,0,0,"December",0,1,1,1,0,0,0,0,0,103.365956,75,"PG-13",1,26
"http://www.imdb.com/name/nm1659547/","http://www.imdb.com/title/tt1174732/","An Education","An Education Best Actress","Best Actress","Carey Mulligan",2010,0,0,0,25,55,100,1,0,0,0,0,"October",1,1,0,0,0,1,0,0,1,12.574914,7.5e-06,"PG-13",1,25
"http://www.imdb.com/name/nm1706767/","http://www.imdb.com/title/tt1210166/","Moneyball","Moneyball Best Supporting Actor","Best Supporting Actor","Jonah Hill",2012,0,0,0,20,42,133,1,0,1,0,0,"September",1,0,0,0,0,1,1,0,1,75.605492,50,"PG-13",1,29
"http://www.imdb.com/name/nm1913734/","http://www.imdb.com/title/tt1568346/","The Girl with the Dragon Tattoo","The Girl with the Dragon Tattoo Best Actress","Best Actress","Rooney Mara",2012,0,0,0,14,33,158,1,0,0,0,0,"December",0,0,0,0,0,0,1,0,0,10.09517,13,"R",1,27
"http://www.imdb.com/name/nm2225369/","http://www.imdb.com/title/tt1399683/","Winter's Bone","Winter's Bone Best Actress","Best Actress","Jennifer Lawrence",2011,0,0,0,49,62,100,1,0,0,0,0,"June",0,0,0,0,0,1,0,0,1,6.531503,2,"R",1,21
"http://www.imdb.com/name/nm2225369/","http://www.imdb.com/title/tt1045658/","Silver Linings Playbook","Silver Linings Playbook Best Actress","Best Actress","Jennifer Lawrence",2013,1,1,0,62,78,122,1,1,0,1,0,"November",1,0,0,1,0,1,0,1,1,132.092958,21,"R",1,23
"http://www.imdb.com/name/nm2794962/","http://www.imdb.com/title/tt1403865/","True Grit","True Grit Best Supporting Actress","Best Supporting Actress","Hailee Steinfeld",2011,0,0,0,30,85,110,1,0,0,0,1,"December",0,0,0,0,0,1,0,1,1,171.243005,38,"PG-13",1,15
"http://www.imdb.com/name/nm2829737/","http://www.imdb.com/title/tt0929632/","Precious","Precious Best Actress","Best Actress","Gabourey Sidibe",2010,0,0,0,79,49,110,1,0,0,0,0,"November",1,0,0,0,0,1,1,1,1,47.566524,10,"R",1,27
"http://www.imdb.com/name/nm4832920/","http://www.imdb.com/title/tt2125435/","Beasts of the Southern Wild","Beasts of the Southern Wild Best Actress","Best Actress","Quvenzhané Wallis",2013,0,NA,NA,66,65,93,1,0,0,0,0,"June",0,0,0,0,0,1,0,1,1,12.795746,1.8,"PG-13",1,10
NA,"http://www.imdb.com/title/tt0069467/","Viskningar och rop","Viskningar och rop Best Picture","Best Picture",NA,1974,0,NA,NA,24,8,91,1,0,0,1,0,"December",0,0,0,NA,0,1,0,1,1,NA,0.4,"R",1,NA
NA,"http://www.imdb.com/title/tt0064030/","Anne of the Thousand Days","Anne of the Thousand Days Best Picture","Best Picture",NA,1970,0,NA,NA,5,16,145,1,0,1,0,0,"December",0,0,1,NA,0,1,0,0,1,NA,NA,"M/PG",1,NA
NA,"http://www.imdb.com/title/tt0107207/","In the Name of the Father","In the Name of the Father Best Picture","Best Picture",NA,1994,0,NA,NA,9,15,133,1,0,1,0,0,"December",0,0,0,NA,0,1,1,1,1,25.096862,NA,"R",1,NA
NA,"http://www.imdb.com/title/tt0119164/","The Full Monty","The Full Monty Best Picture","Best Picture",NA,1998,0,NA,NA,34,26,91,1,1,0,0,0,"August",0,1,0,0,0,1,0,1,1,45.950122,3.5e-06,"R",0,NA
NA,"http://www.imdb.com/title/tt0241303/","Chocolat","Chocolat Best Picture","Best Picture",NA,2001,0,NA,NA,8,29,121,1,0,0,1,0,"December",0,0,0,0,0,1,0,0,1,71.509363,25,"PG-13",1,NA
NA,"http://www.imdb.com/title/tt0120815/","Saving Private Ryan","Saving Private Ryan Best Picture","Best Picture",NA,1999,0,NA,NA,58,56,169,1,0,0,0,1,"July",0,0,1,0,1,1,1,1,1,216.540909,70,"R",0,NA
NA,"http://www.imdb.com/title/tt0388795/","Brokeback Mountain","Brokeback Mountain Best Picture","Best Picture",NA,2006,0,NA,NA,97,67,134,1,0,0,1,0,"November",1,1,1,0,1,1,0,1,1,83.043761,14,"R",0,NA
NA,"http://www.imdb.com/title/tt0082158/","Chariots of Fire","Chariots of Fire Best Picture","Best Picture",NA,1982,1,NA,NA,17,15,124,1,0,1,0,0,"September",1,1,0,NA,0,1,1,1,1,58.972904,5.5,"PG",0,NA
NA,"http://www.imdb.com/title/tt0064115/","Butch Cassidy and the Sundance Kid","Butch Cassidy and the Sundance Kid Best Picture","Best Picture",NA,1970,0,NA,NA,18,12,110,0,0,1,0,1,"September",0,1,0,NA,0,1,0,1,1,102.308889,6,"M",0,NA
NA,"http://www.imdb.com/title/tt0107822/","The Piano","The Piano Best Picture","Best Picture",NA,1994,0,NA,NA,64,30,121,1,0,0,1,0,"November",0,0,0,NA,0,1,1,1,1,40.157856,NA,"R",0,NA
